category,theme
DESCRIBING THE BEST PICTURE OSCAR WINNER,MOVIES & TV
HOPE,POTPOURRI & GENERAL
ETERNAL,POTPOURRI & GENERAL
SPRINGS,POTPOURRI & GENERAL
THE BANK OF THE UNITED STATES,GEOGRAPHY
I WANNA SAX YOU UP,POTPOURRI & GENERAL
WILL & GRACE,POTPOURRI & GENERAL
BEFORE SUNRISE,WORDPLAY
UNUSUAL-LOOKING ANIMALS,SCIENCE
2-WORD WORLD CAPITALS,GEOGRAPHY
DAY ONE,POTPOURRI & GENERAL
"GET ""HIP""",POTPOURRI & GENERAL
HEELS,POTPOURRI & GENERAL
FACES,POTPOURRI & GENERAL
PRO WRESTLING,POTPOURRI & GENERAL
THE MEDICAL FILE OF ALEX TREBEK,POTPOURRI & GENERAL
"WHAT A COUNTR""E""",POTPOURRI & GENERAL
"IT'S JUST GRASS, MAN",POTPOURRI & GENERAL
SIGNATURE DRINKS OF FICTIONAL CHARACTERS,SCIENCE
AFTER THE CIVIL WAR,HISTORY
A CHOICE 4-LETTER WORD,LANGUAGE & WORDS
I NEED YOU TO KEEP ME WARM,HISTORY
WORD & PHRASE HISTORIES,LANGUAGE & WORDS
MAN OF THE CENTURY,HISTORY
IF YOU'VE GOT THE TIME...,WORDPLAY
HOOP & HALLER,POTPOURRI & GENERAL
SINGLE-ARTIST MUSEUMS,ART & CULTURE
WORDS USING ALL 5 VOWELS,LANGUAGE & WORDS
R-RATED MOVIES,MOVIES & TV
LITERARY CADS,POTPOURRI & GENERAL
IN THE RANGE,POTPOURRI & GENERAL
WORLD AFFAIRS 2018,HISTORY
"REIGN, DEAR",POTPOURRI & GENERAL
DANCER,ART & CULTURE
VIXEN,POTPOURRI & GENERAL
COMET,POTPOURRI & GENERAL
"""Q""-PID",POTPOURRI & GENERAL
RUDOLPH,POTPOURRI & GENERAL
OLYMPIC CITY ATTRACTIONS,GEOGRAPHY
3-LETTER BIZ,LANGUAGE & WORDS
IT'S JUST A FLESH WOUND,POTPOURRI & GENERAL
MY ROLE ON TV,MOVIES & TV
FERRY TALES,LITERATURE
IT'S BEGINNING TO LOOK A LOT LIKE CHRISTMAS,POTPOURRI & GENERAL
BLANK NEWS,POTPOURRI & GENERAL
EVERYWHERE YOU GO,POTPOURRI & GENERAL
BE SAFE!,POTPOURRI & GENERAL
TECHNOLOGY: OLD & NEW,TECHNOLOGY
FEMALE PLAYWRIGHTS,LITERATURE
SONGWRITING TEAMS,MUSIC
THE NFL,POTPOURRI & GENERAL
BROTHERS GRIMM FAIRY TALES,LITERATURE
COOKERS,FOOD & DRINK
THEIR TRIBUTE BAND,MUSIC
A FISHY SITUATION,POTPOURRI & GENERAL
"""MIRA"", MIRA",POTPOURRI & GENERAL
FREE TIME IN ORBIT,WORDPLAY
ITALY & GERMANY UNIFIED,POTPOURRI & GENERAL
ART BOOKS,LITERATURE
A LITTLE,POTPOURRI & GENERAL
A FILM OF A DIFFERENT COLOR,MOVIES & TV
CITIES ACROSS AMERICA,GEOGRAPHY
MEDICAL AKAs,POTPOURRI & GENERAL
CAR / MAKER,POTPOURRI & GENERAL
ELECTORAL COLLEGE CUDGELINGS,POTPOURRI & GENERAL
I GOT NOTHING,POTPOURRI & GENERAL
WATCHING THE TV DETECTIVES,MOVIES & TV
OLD SPICE,POTPOURRI & GENERAL
BOOKS WITH ANIMAL POVs,SCIENCE
FAMOUS PERSON FILL-INS,QUOTES & PHRASES
"I GOT ""U"" BABE",POTPOURRI & GENERAL
LET'S PUT RUTHERFORD B. HAYES IN THE PICTURE!,POTPOURRI & GENERAL
GLOBAL MONSTERS,POTPOURRI & GENERAL
CRYPTOCURRENCIES,POTPOURRI & GENERAL
"IT'S A ""DATE""",POTPOURRI & GENERAL
THE MARK TWAIN PRIZE FOR AMERICAN HUMOR,TECHNOLOGY
ELEMENTAL U.S. PLACES,SCIENCE
HOW MANY?,POTPOURRI & GENERAL
DENZEL WASHINGTON FILMS BY ROLE,MOVIES & TV
ACCIDENTS OF HISTORY,HISTORY
RIVERS OF CALIFORNIA,GEOGRAPHY
THAT'S SOME GIFT!,POTPOURRI & GENERAL
HERE COMES THE CAVALRY!,POTPOURRI & GENERAL
FICTION OF THE 20-TEENS,LITERATURE
"THAT'S TOUGH TO ""UN""DO",POTPOURRI & GENERAL
THE HILLS ARE ALIVE,POTPOURRI & GENERAL
HISTORICAL FIRSTS,HISTORY
MANY MOONS,POTPOURRI & GENERAL
THE WRITER SPEAKS,LITERATURE
TROPHY HUNTER,POTPOURRI & GENERAL
NAVY JARGON,POTPOURRI & GENERAL
HOLD THE HOMOPHONE,TECHNOLOGY
LANGUAGE,LANGUAGE & WORDS
FAMILIAL MUSIC,MUSIC
THAT'S THE NAME,POTPOURRI & GENERAL
BRIDGE BURNERS,POTPOURRI & GENERAL
"FIRST ""IN"", LAST ""OUT""",POTPOURRI & GENERAL
PREDICTIONS BY 2030,HISTORY
TV TITLE CHARACTERS,MOVIES & TV
WHICH STATE?,GEOGRAPHY
CRAFTS & HOBBIES,POTPOURRI & GENERAL
RECENT NONFICTION,LITERATURE
THE GERMAN UMLAUT,POTPOURRI & GENERAL
CELEBRATING 35 YEARS,POTPOURRI & GENERAL
SAFE SPACES,SCIENCE
ENGLISH MAJORS,LANGUAGE & WORDS
BIBLE BOOKS BY CHARACTERS,LITERATURE
CAREER OPTIONS,POTPOURRI & GENERAL
VISITING ATLANTA,POTPOURRI & GENERAL
THE DAYTIME EMMYS,WORDPLAY
BATTLES OF THE AMERICAN REVOLUTION,HISTORY
COSTS A LITTLE EXTRA,POTPOURRI & GENERAL
ONE I IS ENOUGH,POTPOURRI & GENERAL
YOU'RE GONNA NEED A BIGGER BOAT,POTPOURRI & GENERAL
ROARING '20s READER,POTPOURRI & GENERAL
THE MOVIE'S SOURCE MATERIAL,MOVIES & TV
ON TOP OF THE WORLD,GEOGRAPHY
"B.S., I LOVE YOU",POTPOURRI & GENERAL
THE SHORT FORM,POTPOURRI & GENERAL
OLYMPIC CITIES,GEOGRAPHY
THE NOBEL MUSEUM,ART & CULTURE
ON THE 2018BILLBOARDCHARTS,ART & CULTURE
GIVE A LITTLE WHISTLE,POTPOURRI & GENERAL
UN-BUSINESS,BUSINESS & ECONOMICS
AGATHA CHRISTIE BOOK TITLES,LITERATURE
'99 PROBLEMS,POTPOURRI & GENERAL
PIONEERING TELEVISION,MOVIES & TV
ALL ENCOMPASSING WORDS,LANGUAGE & WORDS
CYBER MONDAY,POTPOURRI & GENERAL
GIVING TUESDAY,POTPOURRI & GENERAL
WACKY WEDNESDAY,POTPOURRI & GENERAL
A POP CULTURE THANKSGIVING,MUSIC
BLACK FRIDAY,POTPOURRI & GENERAL
SMALL BUSINESS SATURDAY,BUSINESS & ECONOMICS
5 SAINT'S DAYS,TECHNOLOGY
U.S. LAKES & RIVERS,GEOGRAPHY
MUSIC OF YESTERDAY & TODAY,MUSIC
SUCH NOVEL CHARACTERS,LITERATURE
GOVT. ABBREV.,POTPOURRI & GENERAL
"""DEAD""",POTPOURRI & GENERAL
PRESIDENTIAL IRONY,HISTORY
"SILENT ""G""",POTPOURRI & GENERAL
THE LAST,POTPOURRI & GENERAL
RESORT,POTPOURRI & GENERAL
SCORPIOS,POTPOURRI & GENERAL
WHAT KILLED ME?,POTPOURRI & GENERAL
HISTORIC TRIOS,HISTORY
ROOM SERVICE,POTPOURRI & GENERAL
SHAKESPEARE GUYS,LITERATURE
MEDDLING IN YOUR BUSINESS,BUSINESS & ECONOMICS
ELEMENTAL,SCIENCE
SOLVE THE MYSTERY,POTPOURRI & GENERAL
"""F""IVE-LETTER WORDS",LANGUAGE & WORDS
VEGGIE IDIOMS,LANGUAGE & WORDS
NOT-SO-ANCIENT HISTORY,HISTORY
"TYLER, THE CREATOR",POTPOURRI & GENERAL
ODD FUTURE,POTPOURRI & GENERAL
RAINY DAY P.E.,TECHNOLOGY
ALL ABOUT GERMANY,POTPOURRI & GENERAL
INTERJECTIONS,POTPOURRI & GENERAL
LAYING DOWN SOME R&B & HIP-HOP VOCALS,POTPOURRI & GENERAL
CHECK ONE TWO,POTPOURRI & GENERAL
'TEENS IN HISTORY,HISTORY
13- TO 17-LETTER WORDS,LANGUAGE & WORDS
WRITER'S CHEAT SHEET,LITERATURE
WHAT'S COOKING?,FOOD & DRINK
FRESHWATER FISH,POTPOURRI & GENERAL
TITLE NAMES,POTPOURRI & GENERAL
THE DEEP SOUTH,POTPOURRI & GENERAL
ME WANT COOKIE!,FOOD & DRINK
SIBLING,POTPOURRI & GENERAL
RIVALRY,POTPOURRI & GENERAL
YOUNG PEOPLE IN BOOKS,LITERATURE
UNDERSTANDING MONEY,BUSINESS & ECONOMICS
ON VINYL,POTPOURRI & GENERAL
"""CHAIN"" REACTION",TECHNOLOGY
LITERARY WHICH CAME FIRST,POTPOURRI & GENERAL
GAMES OF THE VIDEO VARIETY,SPORTS
TEEN TITANS,POTPOURRI & GENERAL
SUMMER CAMP,POTPOURRI & GENERAL
POST MALONE,POTPOURRI & GENERAL
WHERE ARE WE?,POTPOURRI & GENERAL
YOU'VE GOT CLASS,POTPOURRI & GENERAL
RHYMES WITH A VOWEL,LANGUAGE & WORDS
WHOSE HIT ALBUM?,MUSIC
HISTORIAN'S GLOSSARY,POTPOURRI & GENERAL
PASTURE BEDTIME,WORDPLAY
SCHOOL UNIFORMS,POTPOURRI & GENERAL
MOVIE ADJECTIVES,MOVIES & TV
JUST MY LUCK!,POTPOURRI & GENERAL
IN THE SPANISH DICTIONARY,LANGUAGE & WORDS
ASSIGNED LOCKERS,POTPOURRI & GENERAL
THEME PARKS,POTPOURRI & GENERAL
IN THE ENGLISH DICTIONARY,LANGUAGE & WORDS
INTERNATIONAL GROUPS,GEOGRAPHY
PICTURE THE PREZ,POTPOURRI & GENERAL
SCHOLARSHIPS,POTPOURRI & GENERAL
ON THE MENU,POTPOURRI & GENERAL
WHAT KIND OF PERSON ARE YOU?,POTPOURRI & GENERAL
"AN ""AX""",POTPOURRI & GENERAL
TO GRIND,POTPOURRI & GENERAL
HASHTAGS FOR CHANGE,POTPOURRI & GENERAL
DESCRIBING THE TRAFFIC SIGN,POTPOURRI & GENERAL
PROUD TO BE AN AMERICAN,POTPOURRI & GENERAL
THE TV SHOW'S CHARACTERS,MOVIES & TV
TIME TO TAKE THE S_A_T,WORDPLAY
WEIGHT LISTED,POTPOURRI & GENERAL
AT MY SAFETY SCHOOL,POTPOURRI & GENERAL
HISTORIC LEADERS,HISTORY
YOUNG ADULT READING,LITERATURE
SPORTS ABBREV.,SPORTS
WE WALKED TO SCHOOL,POTPOURRI & GENERAL
IT WAS 10 MILES,POTPOURRI & GENERAL
"IN THE ""SNOW""",POTPOURRI & GENERAL
PLEASE WELCOME MYTH GREECE,RELIGION & MYTHOLOGY
TEEN MATH,POTPOURRI & GENERAL
A WORD OF ADVICE,LANGUAGE & WORDS
QUOTING THE MOVIES,MOVIES & TV
OOPS ON STAMPS,POTPOURRI & GENERAL
COMING OF AGE,POTPOURRI & GENERAL
IN THE '90s,POTPOURRI & GENERAL
2018 COLLEGE FOOTBALL NAMES,HISTORY
WHAT DO YOUR SHOES MEAN?,POTPOURRI & GENERAL
ITS BIGGEST NEIGHBOR,POTPOURRI & GENERAL
AT THE SODA FOUNTAIN,TECHNOLOGY
IN THEIR 90s,POTPOURRI & GENERAL
RAISING CANE,TECHNOLOGY
ON BROADWAY IN 2018,HISTORY
THE BOOKS OF ROMANS,LITERATURE
"""RE"" NOUN",POTPOURRI & GENERAL
ALPHANUMERIC ANATOMY,SCIENCE
RECENT HEADLINES INTHE ONION,POTPOURRI & GENERAL
SISTER CITIES,GEOGRAPHY
RHYMES WITH MUG,LANGUAGE & WORDS
POKER FACE,POTPOURRI & GENERAL
BAD ROMANCE,POTPOURRI & GENERAL
LADY GAGA,POTPOURRI & GENERAL
NATIONAL GEOGRAPHIC'SMARS,GEOGRAPHY
DRUM SCHTICK,POTPOURRI & GENERAL
ALPHABET CITY,GEOGRAPHY
IF YOU CAN'T BEAT 'EM...,MUSIC
THE ELEPHANT,POTPOURRI & GENERAL
TREASURES OF THE NATIONAL PORTRAIT GALLERY,GEOGRAPHY
"THEY'RE ""GREAT""",POTPOURRI & GENERAL
PATTERN RECOGNITION,POTPOURRI & GENERAL
CAST IRONS,MOVIES & TV
THE MINOR LEAGUES,SPORTS
BRAND NAME VARIATIONS,BUSINESS & ECONOMICS
THE DECLARATION OF RIGHTS FOR WOMEN,POTPOURRI & GENERAL
Q THE MAP,GEOGRAPHY
A DOCTOR IN THE HOUSE... OR SENATE,POTPOURRI & GENERAL
WORDS FROM ROMAN NUMERALS,LANGUAGE & WORDS
THE BIG LEAGUES,SPORTS
TV TITLE TOWNS,MOVIES & TV
WRITERS' OTHER GIGS,LITERATURE
NATIONAL GEOGRAPHIC ALMANAC 2019,HISTORY
"TAKE A ""NEE""",POTPOURRI & GENERAL
REPORTS OF MY DEATH...,POTPOURRI & GENERAL
IT'S A WITCH,POTPOURRI & GENERAL
A SKELETON,POTPOURRI & GENERAL
GIVE THEM SOME CANDY,POTPOURRI & GENERAL
HALLOWEEN WITH GENE SIMMONS,POTPOURRI & GENERAL
WORLD CAPITAL PUNISHMENT,GEOGRAPHY
SONG TITLE WOMEN BY LYRIC,MUSIC
OTTOMAN-OPOEIA,POTPOURRI & GENERAL
1960s FILMS,MOVIES & TV
PICTURE THE PLAY,LITERATURE
'60s MUSIC POTPOURRI,MUSIC
A BIT OLD FASHION,POTPOURRI & GENERAL
EPONYMOUSE,POTPOURRI & GENERAL
NO OSCAR FOR YOU!,MOVIES & TV
THE 3 F CLUB,POTPOURRI & GENERAL
THE CARDINAL RULES,POTPOURRI & GENERAL
TODAY'S INNOVATORS,POTPOURRI & GENERAL
FRENCH OFF THE BOAT,LANGUAGE & WORDS
THE STATE-LY COLLEGE,GEOGRAPHY
LITERARY WORDS & PHRASES,LANGUAGE & WORDS
POP CULTURE ALPHABET,MUSIC
SPEAKING SOME LEGALESE,POTPOURRI & GENERAL
AT THE ARCADE,POTPOURRI & GENERAL
FROGGER,POTPOURRI & GENERAL
JOUST,POTPOURRI & GENERAL
CONTRA,POTPOURRI & GENERAL
BURGER TIME,WORDPLAY
MISSAL COMMAND,POTPOURRI & GENERAL
1984 AT THE MOVIES WITH LEONARD MALTIN,HISTORY
RELATIONSHIPS,POTPOURRI & GENERAL
PRESIDENTIAL FIRSTS,HISTORY
ANIMAL ODDITIES,SCIENCE
STARTS OR ENDS WITH A BODY PART,SCIENCE
YOU GO NORWAY,POTPOURRI & GENERAL
"WE'LL GO ""R""s",POTPOURRI & GENERAL
DOC TREBEK'S DIAGNOSIS,POTPOURRI & GENERAL
SERIOUS TALK,POTPOURRI & GENERAL
HEY JOE,POTPOURRI & GENERAL
WHERE YOU GOING?,POTPOURRI & GENERAL
WITH THAT LUNCH IN YOUR HAND,POTPOURRI & GENERAL
CONQUISTADORS,POTPOURRI & GENERAL
TOOLS OF THEIR TRADE,BUSINESS & ECONOMICS
FICTIONAL BOOKS IN BOOKS,LITERATURE
GEOGRAPHY OF THE MOON,GEOGRAPHY
"WORDS WITH A ""WAY""",LANGUAGE & WORDS
STATE BIRDS,GEOGRAPHY
CELEBRATING CHER,POTPOURRI & GENERAL
GLOBE TROTTIN',POTPOURRI & GENERAL
SEEN ON MY WALK TODAY,POTPOURRI & GENERAL
SPEAKING WORDS OF WISDOM,LANGUAGE & WORDS
"LET IT ""BE""",POTPOURRI & GENERAL
BYZANTIUM & BEYOND,POTPOURRI & GENERAL
SAY THE WORD,LANGUAGE & WORDS
BASEBALL-ADJACENT FACTS,SPORTS
STATE FOSSILS,GEOGRAPHY
THE ROLES OF MY LIFETIME,WORDPLAY
LITERARY OPENINGS,POTPOURRI & GENERAL
EN FRANÇAIS,TECHNOLOGY
STUPID ANSWERS ACROSS AMERICA,POTPOURRI & GENERAL
"THE ""HEART"" OF COUNTRY",GEOGRAPHY
I GO TO FAMOUS PERSON HIGH SCHOOL,QUOTES & PHRASES
ZEBULON PIKE'S PIQUES,POTPOURRI & GENERAL
PRISON,POTPOURRI & GENERAL
MATH VOCAB,POTPOURRI & GENERAL
THE HEART OF THE COUNTRY,GEOGRAPHY
I'M BESIDE MYSELF!,POTPOURRI & GENERAL
OLD ENGLISH LITERATURE,LITERATURE
DOWN____,POTPOURRI & GENERAL
A EUROPEAN HOLIDAY,POTPOURRI & GENERAL
NO LONGER AROUND,POTPOURRI & GENERAL
PIECES OF 8,POTPOURRI & GENERAL
ARE YOU READY FOR SOMEMONDAY NIGHT FOOTBALL?,SPORTS
CLASSICAL RAPPERS,MUSIC
"THRE""E""-LETTER WORDS",LANGUAGE & WORDS
VARIOUS COWBOYS,POTPOURRI & GENERAL
VENOM,POTPOURRI & GENERAL
PLACES IN THE NEWS,GEOGRAPHY
HANGING WITH FAMOUS PEOPLE,QUOTES & PHRASES
TIMELY PHRASES,LANGUAGE & WORDS
WHERE THERE'S SMOKE,POTPOURRI & GENERAL
C'EST LA TV,MOVIES & TV
STATE LINES,GEOGRAPHY
WHOSE MEGA-ALBUM?,MUSIC
PAYING THE PIPER,POTPOURRI & GENERAL
"ENDS IN ""U""",POTPOURRI & GENERAL
A SERIOUS INJURY,POTPOURRI & GENERAL
LET'S GET TO URCHIN CARE,POTPOURRI & GENERAL
AP BIOLOGY,SCIENCE
THE GOAL OF THE GAME,SPORTS
UNIONS ONLINE,POTPOURRI & GENERAL
THEY SING! THEY ACT!,POTPOURRI & GENERAL
THE L YOU DON'T SAY,POTPOURRI & GENERAL
A.P. BIOGRAPHY,POTPOURRI & GENERAL
ONE-LETTER RESPONSES,LANGUAGE & WORDS
FICTIONAL WRITERS,LITERATURE
TRAITOROUS ACTIVITY,TECHNOLOGY
MYTHOLOGICAL HOMOPHONES,TECHNOLOGY
STARRING WITH THE DANCES,SCIENCE
NUTS ABOUT DOUGHNUTS,POTPOURRI & GENERAL
THE FOLGER LIBRARY,LITERATURE
"BALI, HI!",POTPOURRI & GENERAL
LIFE IN COLONIAL AMERICA,HISTORY
CELEBRITY POLITICIANS,POLITICS & GOVERNMENT
"I ""NV"" YOU",POTPOURRI & GENERAL
ENDS IN AN F SOUND,POTPOURRI & GENERAL
REALLY BIG SPORTS STARS,SCIENCE
WAR FARE,HISTORY
EMILYS,POTPOURRI & GENERAL
LIST,POTPOURRI & GENERAL
IF 1800s AMERICA HAD TODAY'S TECHNOLOGY,TECHNOLOGY
BIBLICALLY INSPIRED LITERATURE,LITERATURE
CONQUERED AFTER EVEREST,WORDPLAY
THEIR FINAL FILM ROLE,MOVIES & TV
ROOST-ERS,POTPOURRI & GENERAL
SOCIAL MEDIA ABBREV.,TECHNOLOGY
WHICHSTAR WARS?,HISTORY
I'M GONNA PRAY ON THIS,POTPOURRI & GENERAL
WHAT HAD HAPPENED WAS,TECHNOLOGY
"""BLACK"" JEOPARDY",POTPOURRI & GENERAL
THE 5 Ws IN THE BOOKSTORE,LITERATURE
DRIVING,POTPOURRI & GENERAL
AMERICA IN THE 1930s,POTPOURRI & GENERAL
C & C ALLITERATION FACTORY,MOVIES & TV
SACK TIME,WORDPLAY
LIBROS EN ESPAÑOL,POTPOURRI & GENERAL
FRIENDS OFF THE COURT,POLITICS & GOVERNMENT
I'M OUTTA HERE,POTPOURRI & GENERAL
LEGAL LATIN,LANGUAGE & WORDS
"""TIME"" FOR A TUNE",MUSIC
MODERN HEALTH,POTPOURRI & GENERAL
CHARLES DICKENS,POTPOURRI & GENERAL
CARTOON FEMALES,ART & CULTURE
I NEED A HOBBY!,POTPOURRI & GENERAL
METEOROLOGICAL RHYME TIME,LANGUAGE & WORDS
EDISON LABS,POTPOURRI & GENERAL
DRIVING ALEXIS,POTPOURRI & GENERAL
UNUSUAL CHARACTERS,POTPOURRI & GENERAL
"""AE""",POTPOURRI & GENERAL
EXOPHONES,TECHNOLOGY
ISLE OF DOGS,POTPOURRI & GENERAL
I COMPOSED IT,POTPOURRI & GENERAL
"""M"" & EMMYS",POTPOURRI & GENERAL
BIG PHARMA,POTPOURRI & GENERAL
"TO START WITH, GET ""OUT""",SCIENCE
JACK & THE FIEND STALK,POTPOURRI & GENERAL
THE END OF THE ROAD,POTPOURRI & GENERAL
MOVIE BY MacGUFFIN,MOVIES & TV
BIG FARMER,POTPOURRI & GENERAL
MYTHOLOGICAL HEROES,RELIGION & MYTHOLOGY
A BOOK BY ITS COVER,LITERATURE
"GREEK LETTER, PLEASE",LANGUAGE & WORDS
WHAT TREE AM I?,POTPOURRI & GENERAL
TV FOR SHORT,MOVIES & TV
CHRISTIANE AMANPOUR,RELIGION & MYTHOLOGY
THE FACEBOOK OF JOB,LITERATURE
BEFORE & AFTER AT THE MALL,WORDPLAY
OTHER CONSTITUTIONS,POLITICS & GOVERNMENT
FORT NIGHT,POTPOURRI & GENERAL
AT LEAST 20 MILLION TWITTER FOLLOWERS,POTPOURRI & GENERAL
LET US FLOAT SOMETHING BY YOU,POTPOURRI & GENERAL
TRAVEL BOOKS,LITERATURE
"THIS IS ""EZ""",POTPOURRI & GENERAL
HERE'S THE HARD STUFF,POTPOURRI & GENERAL
FORMER SOVIET REPUBLICS,POTPOURRI & GENERAL
2018 HAPPENINGS,HISTORY
BRITISH PLAYS & PLAYWRIGHTS,LITERATURE
THE SHUSH DOCTRINE,POTPOURRI & GENERAL
U.S. CAPITOL ART,ART & CULTURE
TALE AS OLD AS TIME,LITERATURE
LET IT GO,POTPOURRI & GENERAL
FRIEND LIKE ME,POTPOURRI & GENERAL
"""HI"" ""HO""",POTPOURRI & GENERAL
UNDER THE SEA,POTPOURRI & GENERAL
THE TRIAL'S VENUE,POTPOURRI & GENERAL
THE TELEVISION ACADEMY HALL OF FAME,MOVIES & TV
"THE ""BEST"" WORDS",LANGUAGE & WORDS
AUTHORS BORN & DIED,LITERATURE
GRAMMAR A-Z,LANGUAGE & WORDS
FIDDLER,POTPOURRI & GENERAL
ON THE ROOF,POTPOURRI & GENERAL
IF I WERE IN RICHMOND...,POTPOURRI & GENERAL
THE BODY PART IN THE FILM TITLE,MOVIES & TV
MAKES SCENTS,POTPOURRI & GENERAL
WORLD LAKES,GEOGRAPHY
3 CONSONANTS THE SAME,POTPOURRI & GENERAL
"""PER""SPECTIVE ON SCIENCE",SCIENCE
ELECTION 1968,HISTORY
INTERNATIONAL CRIME,GEOGRAPHY
BRICK BY BRICK,POTPOURRI & GENERAL
COBRA KAI,TECHNOLOGY
KARATE,POTPOURRI & GENERAL
KIDS,POTPOURRI & GENERAL
BUSINESS LINGO,BUSINESS & ECONOMICS
ENTERTAINMENT RITUALS,TECHNOLOGY
DENTISTRY,POTPOURRI & GENERAL
"ENDS IN ""O""",POTPOURRI & GENERAL
CITIES IN HISTORY,HISTORY
OCTOBER OBSERVANCES,POTPOURRI & GENERAL
SAILING INTO HISTORY,HISTORY
PORTUGUESE PRIMER,POTPOURRI & GENERAL
WEIRD AL-CHEMY,POTPOURRI & GENERAL
AT THE ZOO,POTPOURRI & GENERAL
A LITTLE DRY,POTPOURRI & GENERAL
LARGEST CITIES,GEOGRAPHY
THE BROADWAY PLAY'S PREMIERE CAST,LITERATURE
BOOKS OF THE 1940s,LITERATURE
AFTER THE ZOO,WORDPLAY
OSCAR HYPHENATES,MOVIES & TV
GETTING SPECIFIC ATGENERAL HOSPITAL,POTPOURRI & GENERAL
PRESIDENTS' MIDDLE NAMES,HISTORY
POP CULTURE POPS,MUSIC
COMPLETE THE NANCY DREW BOOK TITLE,LITERATURE
ON THE FAST FOOD MENU,FOOD & DRINK
NEWSY PUNS,POTPOURRI & GENERAL
NO FILTER,POTPOURRI & GENERAL
"COUNTRY, HIP-HOP & JAZZ",GEOGRAPHY
"""T.T.""",POTPOURRI & GENERAL
SpaceX,SCIENCE
20th CENTURY DECADES,HISTORY
TV CRIMESOLVERS,MOVIES & TV
PUB GRUB,POTPOURRI & GENERAL
"3 CONSONANTS, NO VOWELS",POTPOURRI & GENERAL
STATE CAPITAL NEWSPAPERS,GEOGRAPHY
GO FOR THE GOLD,POTPOURRI & GENERAL
"THE MUSICAL ""IDE""",MUSIC
MY WIFE,POTPOURRI & GENERAL
YOUR SIGNIFICANT AUTHOR,LITERATURE
CLASSIC FILMS,MOVIES & TV
CLUES ACROSS PHILADELPHIA,POTPOURRI & GENERAL
WE'RE IN THIS LEAGUE,SPORTS
GEEK HOLIDAYS,POTPOURRI & GENERAL
SATELLITE BY NATION,POTPOURRI & GENERAL
"""G"" IS FOR...",POTPOURRI & GENERAL
POP CULTURE ADAPTS SHAKESPEARE,LITERATURE
RELIGION & SPIRITUALITY BOOKS,LITERATURE
BANDITS,MUSIC
AT 5 O'CLOCK,POTPOURRI & GENERAL
THE GREAT BRITISH COIN HUNT,POTPOURRI & GENERAL
NAME THE NOVEL,LITERATURE
COLLEGE COURSES,POTPOURRI & GENERAL
IN OTTER NEWS,POTPOURRI & GENERAL
GETTING COORDINATED,POTPOURRI & GENERAL
MR. & MRS. SONGS,MUSIC
AROUND THE MANSION,POTPOURRI & GENERAL
"""HOW""-""D""",POTPOURRI & GENERAL
PARDONER,POTPOURRI & GENERAL
QUEEN CONSORT,POTPOURRI & GENERAL
COMPLETE THE 21st CENTURY BESTSELLER,HISTORY
FUN WITH TEAM NAMES,SPORTS
THE UNSEEN,POTPOURRI & GENERAL
QUEEN'S CONCERT,MUSIC
MYTHOLOGICAL ORIGIN STORIES,RELIGION & MYTHOLOGY
COME UP TO THE LAB,POTPOURRI & GENERAL
OCEAN LINERS,SCIENCE
OTHER RATHER GRAND CANYONS,POTPOURRI & GENERAL
"""ALA"" CART",ART & CULTURE
20th CENTURY PLAYS,HISTORY
GALAPAGOS: PLANTS & ANIMALS,SCIENCE
THE COMPANY CAR,BUSINESS & ECONOMICS
IT CAN'T GET MUCH WORSE,POTPOURRI & GENERAL
"IN THE ""FOR"" CAST",MOVIES & TV
poetry,LITERATURE
RIVER WORDS,GEOGRAPHY
"""IN"", THE MIDDLE",POTPOURRI & GENERAL
PAINTED LADIES,ART & CULTURE
I'M A HUGE FAN!,POTPOURRI & GENERAL
"HOT, COLD OR IN BETWEEN",POTPOURRI & GENERAL
TERMS IN HISTORY,HISTORY
HELP ME WITH THE TITLE,POTPOURRI & GENERAL
CHRIS P.,POTPOURRI & GENERAL
OUTSIDE,POTPOURRI & GENERAL
TENDER INSIDE,POTPOURRI & GENERAL
IT'S A BIBLICAL THING,POTPOURRI & GENERAL
COUNTRIES WITH FEWER THAN 1 MILLION PEOPLE,GEOGRAPHY
LINES FROM THE TV COMEDY,MOVIES & TV
ONE GIANT LEAP,POTPOURRI & GENERAL
SENATORS IN THE 115th CONGRESS,POLITICS & GOVERNMENT
ALTERNATIVES TO COACHELLA?,SPORTS
COLOR ETYMOLOGY,POTPOURRI & GENERAL
SPACE PROBES,SCIENCE
PRO FOOTBALL HALL OF FAMERS BY TEAM,SPORTS
HOW CHEAP WERE THEY?,POTPOURRI & GENERAL
READING,LITERATURE
THE T LEAVES,POTPOURRI & GENERAL
ACTING THE PART,ART & CULTURE
ORANGE YOU GLAD,POTPOURRI & GENERAL
ONLY AT THE METROPOLITAN MUSEUM OF ART,ART & CULTURE
FOLKLORE,POTPOURRI & GENERAL
CELEBRITIES' FASHION LINES,POTPOURRI & GENERAL
AMONGTIME'S 50 BEST PODCASTS OF 2018,HISTORY
SAY IT 3 TIMES,WORDPLAY
"WHERE ""YU"" GOIN'?",POTPOURRI & GENERAL
LEONARD BERNSTEIN AT 100,POTPOURRI & GENERAL
"HOT, CROSS NUNS",POTPOURRI & GENERAL
"DOUBLE ""B""s",POTPOURRI & GENERAL
HERE'S YOUR METAL,POTPOURRI & GENERAL
